match_id;player_id;team;opponent;player;position;shirt_number;totalPass;accuratePass;totalLongBalls;accurateLongBalls;goalAssist;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;saves;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;duelLost;duelWon;challengeLost;dispossessed;totalContest;bigChanceCreated;shotOffTarget;blockedScoringAttempt;totalClearance;interceptionWon;totalTackle;wonTackle;unsuccessfulTouch;expectedGoals;keyPass;shotValueNormalized;aerialWon;onTargetScoringAttempt;outfielderBlock;wasFouled;fouls;expectedGoalsOnTarget;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;bigChanceMissed;wonContest;errorLeadToAShot;hitWoodwork;accurateCross;goals;totalOffside;goodHighClaim;totalKeeperSweeper;accurateKeeperSweeper;lastManTackle;errorLeadToAGoal
14083269;310874;Mallorca;Barcelona;Vedat Muriqi;F;7;21.0;11.0;2.0;1.0;0.0;10.0;11.0;1.0;10.0;2.0;0.0;0.0;77.0;33.0;6.2;13.0;0.00097767;41.850027939599;5.0;-19.777265236491;0.0;1;0.0;-0.18;0.02;0.17;0.0;0.0;5.0;8.0;6.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.3466;0.0;-0.61;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;949722;Mallorca;Barcelona;Antonio Sánchez;M;6;7.0;6.0;0.0;0.0;0.0;4.0;4.0;2.0;3.0;4.0;0.0;0.0;28.0;14.0;6.8;1.0;0.00041766;37.09109435618;4.0;34.533530846088;0.0;2;0.0;0.03;0.36;-0.02;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.1741;0.0;-0.48;0.0;2.0;0.0;0.0;0.0;0.2372;15.69739708649;25.873790016999;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;110783;Mallorca;Barcelona;Sergi Darder;M;10;9.0;8.0;3.0;2.0;0.0;2.0;2.0;6.0;7.0;1.0;0.0;0.0;28.0;13.0;6.4;3.0;0.143923;26.040357156802;5.0;3.3074527339363;0.0;0;0.0;0.11;0.0;-0.07;0.0;1.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1170693;Mallorca;Barcelona;Mateo Joseph;F;18;3.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;28.0;7.0;6.4;3.0;0.00104651;14.719018445535;1.0;8.6122155606325;0.0;1;0.0;-0.02;0.07;-0.04;0.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0285;0.0;-0.27;0.0;0.0;0.0;0.0;0.0;0.0;8.6122155606325;14.719018445535;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;826004;Mallorca;Barcelona;Manu Morlanes;M;8;5.0;4.0;1.0;1.0;0.0;1.0;1.0;3.0;4.0;0.0;0.0;0.0;13.0;6.0;6.6;1.0;0.0099101;0.0;0.0;0.0;0.0;0;0.0;0.11;0.0;-0.04;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1162309;Mallorca;Barcelona;Javi Llabrés;F;19;4.0;3.0;0.0;0.0;0.0;1.0;1.0;2.0;3.0;0.0;0.0;0.0;13.0;7.0;6.4;3.0;0.00111366;5.0583558593677;1.0;0.65275712710736;0.0;1;0.0;-0.05;-0.03;-0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0562;0.0;-0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083292;791773;Real Sociedad;Elche;Álex Remiro;G;1;40.0;24.0;24.0;8.0;0.0;19.0;23.0;5.0;17.0;7.0;2.0;4.0;90.0;47.0;6.9;16.0;0.00180678;89.950017359504;13.0;39.969947396251;0.9056;0;1.0544;0.12;-0.05;-0.06;0.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083292;353250;Real Sociedad;Elche;Álvaro Odriozola;D;20;12.0;10.0;3.0;3.0;0.0;4.0;6.0;6.0;6.0;2.0;0.0;0.0;65.0;23.0;6.6;4.0;0.0229569;78.54094478237;6.0;30.803003525419;0.0;0;0.0;0.06;0.21;-0.15;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.839423800068;35.275673516799;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083292;838159;Real Sociedad;Elche;Igor Zubeldia;D;5;37.0;31.0;9.0;3.0;0.0;21.0;22.0;10.0;15.0;4.0;0.0;0.0;90.0;50.0;6.7;6.0;0.0042883;78.455728871134;10.0;40.570145365952;0.0;0;0.0;0.08;0.09;-0.04;0.0;0.0;4.0;8.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083292;257091;Real Sociedad;Elche;Duje Ćaleta-Car;D;16;21.0;16.0;1.0;0.0;0.0;14.0;18.0;2.0;3.0;2.0;0.0;0.0;90.0;33.0;7.0;5.0;0.00083757;12.105026898967;2.0;-3.2866413300194;0.0;0;0.0;-0.07;0.02;-0.02;0.0;0.0;2.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
