match_id;team;minute;value
14083292;Elche;42.0;-35
14083292;Elche;43.0;-37
14083292;Elche;44.0;-23
14083292;Elche;45.0;-3
14083292;Elche;45.5;-14
14083292;Real Sociedad;46.0;2
14083292;Real Sociedad;47.0;14
14083292;Real Sociedad;48.0;10
14083292;Real Sociedad;49.0;22
14083292;Elche;50.0;-21
14083292;Elche;51.0;-33
14083292;Real Sociedad;52.0;29
14083292;Real Sociedad;53.0;11
14083292;Elche;54.0;-37
14083292;Elche;55.0;-40
14083292;Elche;56.0;-61
14083292;Elche;57.0;-43
14083292;Elche;58.0;-40
14083292;Elche;59.0;-31
14083292;Elche;60.0;-54
