league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;gameStarted;goalsConceded;minsPlayed;totalPass;accuratePass;goalKicks;saves;formationPlace;totalSubOff;lostCorners;totalThrows;fouls;totalScoringAtt;shotOffTarget;totalClearance;wonTackle;wasFouled;totalTackle;yellowCard;wonCorners;blockedScoringAtt;ontargetScoringAtt;goalAssist;cornerTaken;goals;totalOffside;totalSubOn
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;aqqd7tq7z6bj3wn3u3sz3uuqc;Javier Guerra Moreno;Javi Guerra;Javi Guerra;8;Defensive Midfielder;Centre/Right;8;1;1;68;66;59;0;0;8;1;0;0;0;2;1;0;3;0;3;0;0;1;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;4j3u6v01emo9nsel7uw00qsfe;Diego López Noguerol;Diego López;Diego López;16;Attacking Midfielder;Left;11;1;1;68;38;30;0;0;11;1;0;0;1;1;0;0;1;1;2;0;0;1;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;9dc4qkvh0vk5kwymibji00kp;Domingos André Ribeiro Almeida;Domingos André Ribeiro Almeida;André Almeida;10;Attacking Midfielder;Centre;10;1;1;84;54;47;0;0;10;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;66fshzi5f86wt1lwa4kdhiooa;Francisco Pérez Martínez;Fran Pérez;Fran Pérez;23;Attacking Midfielder;Right;7;1;1;56;23;20;0;0;7;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;12;Striker;Centre;9;1;1;56;9;6;0;0;9;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Substitute;Attacker;0;0;0;34;7;3;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;3702btkgwxf6tq92ouekd7ro5;José Luis García Vayá;José Luis García Vayá;Pepelu;18;Substitute;Midfielder;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;arpoe2kjx9pbacgpuv17yl33d;Iván Jaime Pajuelo;Iván Jaime;Iván Jaime;17;Substitute;Midfielder;0;0;0;22;9;2;0;0;0;0;0;0;1;1;0;0;2;0;2;0;0;0;1;0;0;0;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;4sojot9t32l4a6fm3e39xkcfd;Rafael Mir Vicente;Rafa Mir;Rafa Mir;11;Substitute;Attacker;0;0;0;22;6;3;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;22;Substitute;Attacker;0;0;0;34;18;12;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1
