league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;totalThrows;wasFouled;fouls;totalTackle;wonTackle;wonCorners;yellowCard;blockedScoringAtt;goals;ontargetScoringAtt;totalScoringAtt;totalSubOff;penaltyWon;cornerTaken;totalOffside;goalAssist;shotOffTarget;totalSubOn;penGoalsConceded;penaltyFaced;penaltyConceded
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;8yak0o9o7z5j5ribga3ui2cb9;Gabriel Alonso Suazo Urbina;Gabriel Suazo;G. Suazo;12;Wing Back;Left;3;42;1;0;4;0;90;0;1;51;3;7;2;0;4;2;1;0;0;0;1;1;0;0;4;0;0;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;7j2h7bq14b9n6xephp8vchfu2;Juan Luis Sánchez Velasco;Juanlu Sánchez;Juanlu Sánchez;16;Wing Back;Right;2;29;1;0;2;0;60;0;1;35;2;1;2;0;1;0;2;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;boa0e436nc3u53cumlao9ulex;Batista Adélino Mendy;Batista Mendy;B. Mendy;19;Midfielder;Left/Centre;11;46;1;0;4;0;90;0;0;52;11;0;3;0;1;1;0;0;3;0;0;3;0;0;0;0;0;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;42laa1qwbzlcruyrmlg5o1fu2;Gerard Fernández Castellano;Gerard Fernández Castellano;Peque Fernández;14;Midfielder;Centre;8;21;1;0;2;0;60;0;0;23;8;0;3;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;c8mp2wwwyvy930vfjnivg2hre;Lucien Jefferson Agoumé;Lucien Agoumé;L. Agoumé;18;Midfielder;Centre/Right;7;56;1;0;4;0;90;0;1;64;7;0;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;xu7mykgl15kaib3olilmsez9;Neal Maupay;Neal Maupay;N. Maupay;17;Striker;Left/Centre;9;18;1;0;3;0;79;0;0;21;9;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;6mf11pv0pfvyl9vom1i1pi0yy;Akor Jerome Adams;Akor Adams;A. Adams;9;Striker;Centre/Right;10;8;1;0;4;0;90;0;0;16;10;0;0;1;0;0;3;0;0;0;1;2;0;0;0;3;0;1;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;6ufkq71qh9wrfyaez5yi94e09;Chidera Ejuke;Chidera Ejuke;C. Ejuke;21;Substitute;Attacker;0;11;0;0;2;0;30;0;1;15;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;45rxt159xjefvxlfgeykclw8a;Isaac Romero Bernal;Isaac Romero;Isaac Romero;7;Substitute;Attacker;0;6;0;0;1;0;11;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;20;Substitute;Midfielder;0;16;0;0;1;0;11;0;0;20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;vl1b0gayryiqvl5dlukpmswl;Alexis Alejandro Sánchez Sánchez;Alexis Sánchez;A. Sánchez;10;Substitute;Attacker;0;18;0;0;2;0;30;0;0;21;0;0;0;0;3;2;1;0;0;0;1;1;0;0;2;1;0;0;1;0;0;0
