league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;cornerTaken;fouls;goalAssist;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;blockedScoringAtt;goals;ontargetScoringAtt;shotOffTarget;totalScoringAtt;totalSubOff;totalSubOn
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;kswz5xg9b8d2zzslpfxpn7fu;Nicolás Fonseca;Nicolás Fonseca;N. Fonseca;23;Defensive Midfielder;Left/Centre;4;20;1;0;3;1;89;0;1;22;1;4;0;2;0;4;0;0;2;0;1;0;0;0;1;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;7qoshvypodx2yovs65d29kgoa;Kwasi Sibo;Kwasi Sibo;K. Sibo;6;Defensive Midfielder;Centre/Right;8;22;1;0;1;0;76;0;4;30;0;8;0;5;0;1;0;0;0;1;0;0;0;0;0;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;60b3ef904dyvuh61cgkajcley;Ilyas Chaira Oihi;Ilyas Chaira;I. Chaira;7;Attacking Midfielder;Left;11;17;1;0;3;0;90;0;0;19;0;11;0;3;0;4;0;2;3;0;0;0;1;2;3;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;a4r44oe89pwoinogij6t0go6i;Alberto Reina Campos;Alberto Reina;Alberto Reina;5;Attacking Midfielder;Centre;10;25;1;0;1;1;76;0;0;29;1;10;5;1;0;2;0;0;1;0;0;0;0;0;0;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;7kyxr0ntcthtbohvozw93v52i;Haissem Hassan;Haissem Hassan;H. Hassan;10;Attacking Midfielder;Right;7;15;1;0;1;0;76;0;0;17;1;7;0;0;1;2;0;2;0;0;1;0;0;0;1;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;6nr7ekkfr3n9tr44z6fowj5gq;Federico Sebastián Viñas Barboza;Federico Viñas;F. Viñas;9;Striker;Centre;9;14;1;0;1;0;84;0;2;18;4;9;0;1;0;3;0;1;1;0;1;2;3;1;5;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;7zilisi5cnkmr30dhdful2r1m;Thiago Nicolás Borbas Silva;Thiago Borbas;T. Borbas;17;Substitute;Attacker;0;4;0;0;2;0;6;0;1;6;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;bw58qgyapbrlir4h629cr5uj9;Santiago Cazorla González;Santi Cazorla;Santi Cazorla;8;Substitute;Midfielder;0;7;0;0;2;0;14;0;0;10;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;1emj0rlthc8syfleox4c39kut;Leander Dendoncker;Leander Dendoncker;L. Dendoncker;20;Substitute;Midfielder;0;3;0;0;2;0;14;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;9xyhn7xadm9zl908lonnj0x04;Thiago Cruz Fernández;Thiago Fernández;T. Fernández;15;Substitute;Attacker;0;1;0;0;2;0;14;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;cw9754xmqdnskeswigkl7u5ii;Álex Forés Mendoza;Álex Forés;Álex Forés;19;Substitute;Attacker;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
