league;season;id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
73;2526;973536;Martín Satriano;;;;;;;;;;;;;;
73;2526;899982;Isi Palazón;;;;;;;;;;;;;;
73;2526;357598;Josip Brekalo;;;;;;;;;;;;;;
73;2526;788216;Pablo Maffeo;;;;;;;;;;;;;;
73;2526;1186010;Valentín Gómez;;;;;;;;;;;;;;
73;2526;789381;Chimy Ávila;;;;;;;;;;;;;;
73;2526;856250;Ladislav Krejčí;;;;;;;;;;;;;;
73;2526;960006;Lucien Agoumé;;;;;;;;;;;;;;
73;2526;1392592;Roberto Fernández;;;;;;;;;;;;;;
73;2526;309546;Takuma Asano;;;;;;;;;;;;;;
73;2526;825754;Rafa Mir;;;;;;;;;;;;;;
73;2526;879875;Facundo Garcés;;;;;;;;;;;;;;
73;2526;845385;Brais Méndez;;;;;;;;;;;;;;
73;2526;39182;Dani Parejo;;;;;;;;;;;;;;
73;2526;1084399;Carlos Vicente;;;;;;;;;;;;;;
73;2526;799054;Djibril Sow;;;;;;;;;;;;;;
73;2526;164343;Paulo Gazzaniga;;;;;;;;;;;;;;
73;2526;877037;Cyril Ngonge;;;;;;;;;;;;;;
73;2526;1398511;Adama Boiro;;;;;;;;;;;;;;
73;2526;592012;Álex Berenguer;;;;;;;;;;;;;;
73;2526;900003;Jorge de Frutos;;;;;;;;;;;;;;
73;2526;99519;Marc Bartra;;;;;;;;;;;;;;
73;2526;32048;Cristhian Stuani;;;;;;;;;;;;;;
73;2526;826948;Pepelu;;;;;;;;;;;;;;
73;2526;344129;José Luis Morales;;;;;;;;;;;;;;
73;2526;1173575;Jones El-Abdellaoui;;;;;;;;;;;;;;
73;2526;1122610;Javier Guerra;;;;;;;;;;;;;;
73;2526;1495844;Mikel Jauregizar;;;;;;;;;;;;;;
73;2526;67769;Ricardo Rodríguez;;;;;;;;;;;;;;
73;2526;227922;José Luis Gayà;;;;;;;;;;;;;;
73;2526;974713;Luis Vázquez;;;;;;;;;;;;;;
73;2526;68332;Nemanja Gudelj;;;;;;;;;;;;;;
73;2526;1084081;Arnau Martínez;;;;;;;;;;;;;;
73;2526;855832;Antonio Blanco;;;;;;;;;;;;;;
73;2526;190405;Leander Dendoncker;;;;;;;;;;;;;;
73;2526;909966;Largie Ramazani;;;;;;;;;;;;;;
73;2526;966862;Ander Barrenetxea;;;;;;;;;;;;;;
73;2526;1106573;Jhon Solís;;;;;;;;;;;;;;
73;2526;328145;Adnan Januzaj;;;;;;;;;;;;;;
73;2526;794937;Carles Aleñá;;;;;;;;;;;;;;
73;2526;980383;Raúl Moro;;;;;;;;;;;;;;
73;2526;1216282;Luca Koleosho;;;;;;;;;;;;;;
73;2526;893642;Marash Kumbulla;;;;;;;;;;;;;;
73;2526;1131909;Leo Román;;;;;;;;;;;;;;
73;2526;811629;Luis Milla;;;;;;;;;;;;;;
73;2526;134029;Mathew Ryan;;;;;;;;;;;;;;
73;2526;831510;Veljko Birmančević;;;;;;;;;;;;;;
73;2526;847128;Marc Roca;;;;;;;;;;;;;;
73;2526;352544;Sheraldo Becker;;;;;;;;;;;;;;
73;2526;358910;Augusto Batalla;;;;;;;;;;;;;;
73;2526;158615;Matías Vecino;;;;;;;;;;;;;;
73;2526;385888;Mauro Arambarri;;;;;;;;;;;;;;
73;2526;138383;Denis Suárez;;;;;;;;;;;;;;
73;2526;1018190;Romero, Isaac;;;;;;;;;;;;;;
73;2526;826013;Abel Ruíz;;;;;;;;;;;;;;
73;2526;988351;Samú Costa;;;;;;;;;;;;;;
73;2526;814385;Lucas Boyé;;;;;;;;;;;;;;
73;2526;1014042;Iván Romero;;;;;;;;;;;;;;
73;2526;998950;Diego López;;;;;;;;;;;;;;
73;2526;1518971;Adam Boayar;;;;;;;;;;;;;;
73;2526;831253;Toni Martínez;;;;;;;;;;;;;;
73;2526;1177401;Matturro, Alan;;;;;;;;;;;;;;
73;2526;891511;Javi Puado;;;;;;;;;;;;;;
73;2526;945768;Bojan Miovski;;;;;;;;;;;;;;
