id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
1014042;Iván Romero;;;;;;;;;;;;;;
998950;Diego López;;;;;;;;;;;;;;
1518971;Adam Boayar;;;;;;;;;;;;;;
831253;Toni Martínez;;;;;;;;;;;;;;
1177401;Matturro, Alan;;;;;;;;;;;;;;
891511;Javi Puado;;;;;;;;;;;;;;
945768;Bojan Miovski;;;;;;;;;;;;;;
1082968;Abderrahman Rebbach;;;;;;;;;;;;;;
976104;Federico Viñas;;;;;;;;;;;;;;
1466116;Jon Martin;;;;;;;;;;;;;;
859021;Batista Mendy;;;;;;;;;;;;;;
985329;Aimar Oroz;;;;;;;;;;;;;;
981604;Alemão;;;;;;;;;;;;;;
548848;Pau López;;;;;;;;;;;;;;
1003007;Tanguy Nianzou;;;;;;;;;;;;;;
1131581;Carlos Martín;;;;;;;;;;;;;;
1170693;Mateo Joseph;;;;;;;;;;;;;;
294593;Álex Moreno;;;;;;;;;;;;;;
891505;Goduine Koyalipou;;;;;;;;;;;;;;
94527;Marko Dmitrović;;;;;;;;;;;;;;
845693;André Almeida;;;;;;;;;;;;;;
305278;Diego Llorente;;;;;;;;;;;;;;
84531;Yuri Berchiche;;;;;;;;;;;;;;
345111;Álvaro García;;;;;;;;;;;;;;
959872;Aitor Paredes;;;;;;;;;;;;;;
1201412;Thiago Fernández;;;;;;;;;;;;;;
1010655;Juanlu Sánchez;;;;;;;;;;;;;;
1496360;Matias Moreno;;;;;;;;;;;;;;
986245;Sergi Cardona;;;;;;;;;;;;;;
988672;David Affengruber;;;;;;;;;;;;;;
260031;Rubén García;;;;;;;;;;;;;;
1014412;Julen Agirrezabala;;;;;;;;;;;;;;
1396048;Carlos Romero;;;;;;;;;;;;;;
885664;Luka Ilić;;;;;;;;;;;;;;
286167;Aleix Febas;;;;;;;;;;;;;;
843678;Santi Comesaña;;;;;;;;;;;;;;
88528;Florian Lejeune;;;;;;;;;;;;;;
1526628;Fer López;;;;;;;;;;;;;;
840951;Marcão;;;;;;;;;;;;;;
1515554;Adrian Liso;;;;;;;;;;;;;;
1137814;Sergi Altimira;;;;;;;;;;;;;;
1895964;Bekhoucha, Ismael;;;;;;;;;;;;;;
850035;Luiz Felipe;;;;;;;;;;;;;;
896073;Nahuel Tenaglia;;;;;;;;;;;;;;
294377;Sergio Herrera;;;;;;;;;;;;;;
914765;Gonzalo Villar;;;;;;;;;;;;;;
22209;Ørjan Nyland;;;;;;;;;;;;;;
368922;Aarón Escandell;;;;;;;;;;;;;;
1392092;Sebastián Boselli;;;;;;;;;;;;;;
1015240;José Ángel Carmona;;;;;;;;;;;;;;
84972;Kike García;;;;;;;;;;;;;;
910024;Sergio Camello;;;;;;;;;;;;;;
110783;Sergi Darder;;;;;;;;;;;;;;
877262;Edu Expósito;;;;;;;;;;;;;;
873947;Dani Raba;;;;;;;;;;;;;;
96365;Iñigo Ruiz de Galarreta;;;;;;;;;;;;;;
964983;Álvaro Valles;;;;;;;;;;;;;;
869931;Yvan Neyou;;;;;;;;;;;;;;
944165;Robert Navarro;;;;;;;;;;;;;;
900792;Alejandro Catena;;;;;;;;;;;;;;
932764;Randy Nteka;;;;;;;;;;;;;;
1097719;Kike Salas;;;;;;;;;;;;;;
1542721;Buba Sangare;;;;;;;;;;;;;;
973699;Iván Martín;;;;;;;;;;;;;;
838159;Igor Zubeldia;;;;;;;;;;;;;;
893062;Aitor Ruibal;;;;;;;;;;;;;;
997280;Raúl García de Haro;;;;;;;;;;;;;;
997033;Peque Fernández;;;;;;;;;;;;;;
835484;Fran Beltrán;;;;;;;;;;;;;;
218616;Portu;;;;;;;;;;;;;;
1149152;Stanis Idumbo Muzambo;;;;;;;;;;;;;;
796320;Joseph Aidoo;;;;;;;;;;;;;;
900433;Luis Rioja;;;;;;;;;;;;;;
175185;Pere Milla;;;;;;;;;;;;;;
962710;Germán Valera;;;;;;;;;;;;;;
1100646;Neto, Martim;;;;;;;;;;;;;;
97951;Stole Dimitrievski;;;;;;;;;;;;;;
996928;César Tárrega;;;;;;;;;;;;;;
